Dataset_Name,NÂ°TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
OPENJPA,1,NaiveBayes,1.0,0.3333333333333333,0.9683155111772065,0.4990458015267236
OPENJPA,1,RandomForest,1.0,0.3611111111111111,0.8229764181007011,0.529661512094414
OPENJPA,1,IBk,1.0,0.24074074074074073,0.6394567324211117,0.3871537169376189
OPENJPA,2,NaiveBayes,0.9733333333333334,0.5214285714285715,0.9930190292922814,0.6724275739044313
OPENJPA,2,RandomForest,0.9906542056074766,0.7571428571428571,0.993417827361862,0.8546393076970173
OPENJPA,2,IBk,0.9914163090128756,0.55,0.8417387010395349,0.7013087527323176
OPENJPA,3,NaiveBayes,0.9411764705882353,0.822429906542056,0.974258950300452,0.8724539964246645
OPENJPA,3,RandomForest,0.9725,0.9088785046728972,0.976117617532159,0.9368695582010386
OPENJPA,3,IBk,0.9820261437908496,0.9361370716510904,0.9801752447879487,0.9566282365672613
OPENJPA,4,NaiveBayes,0.963855421686747,0.6722689075630253,0.9994184398460145,0.7876745088871121
OPENJPA,4,RandomForest,0.9851485148514851,0.8361344537815126,0.9994838196432,0.9022804582633289
OPENJPA,4,IBk,0.9905660377358491,0.8823529411764706,0.9942639515000777,0.9317090036719323
OPENJPA,5,NaiveBayes,0.3057324840764331,0.34782608695652173,0.9738323527275369,0.30378948630519675
OPENJPA,5,RandomForest,0.6292517006802721,0.6702898550724637,0.9878910580120704,0.6382277060789531
OPENJPA,5,IBk,0.7465116279069768,0.7753623188405797,0.9899944521819137,0.7533255763247284
OPENJPA,6,NaiveBayes,0.8214285714285714,0.4946236559139785,0.9930486732457671,0.6116924979663879
OPENJPA,6,RandomForest,0.9324324324324325,0.7419354838709677,0.994214206948535,0.8232578159637357
OPENJPA,6,IBk,0.9541666666666667,0.8207885304659498,0.9920365536597862,0.8802823789930679
OPENJPA,7,NaiveBayes,0.9782608695652174,0.30612244897959184,0.9963826091102231,0.4582667938867391
OPENJPA,7,RandomForest,0.9947916666666666,0.6496598639455783,0.9965673523022875,0.7806013240408751
OPENJPA,7,IBk,0.9970149253731343,0.7573696145124716,0.9920840190848326,0.8569730566331658
OPENJPA,8,NaiveBayes,0.9375,0.4878048780487805,0.8716016665696911,0.6352238146826836
OPENJPA,8,RandomForest,0.9743589743589743,0.6178861788617886,0.8738382764439225,0.7512018070544624
OPENJPA,8,IBk,0.9838709677419355,0.6612466124661247,0.8742166771772539,0.7864637203788988
OPENJPA,9,NaiveBayes,0.75,0.6428571428571429,0.92933912803532,0.6783164732550662
OPENJPA,9,RandomForest,0.875968992248062,0.7566964285714286,0.9323095287369915,0.803388850049022
OPENJPA,9,IBk,0.9155172413793103,0.7901785714285714,0.929802802743614,0.8413152949807522
OPENJPA,10,NaiveBayes,0.019970569686777382,0.8482142857142857,0.5713533270757238,0.00851719375234991
OPENJPA,10,RandomForest,0.0365778053316801,0.7901785714285714,0.6645911234619544,0.04105638542991384
OPENJPA,10,IBk,0.040534979423868314,0.5863095238095238,0.6307889972634295,0.04777969690309397
OPENJPA,11,NaiveBayes,0.9692005242463958,0.8996350364963503,0.993773485593179,0.9000666143760562
OPENJPA,11,RandomForest,0.9851547694251421,0.9486009732360098,0.9952333347663854,0.9495149170729906
OPENJPA,11,IBk,0.9850316637881404,0.6938361719383617,0.7442947851794702,0.7404819925196348
OPENJPA,12,NaiveBayes,0.8160377358490566,0.8522167487684729,0.9875574444578785,0.8181743551157166
OPENJPA,12,RandomForest,0.9057971014492754,0.9236453201970444,0.9941247339224845,0.9067467537678943
OPENJPA,12,IBk,0.9327390599675851,0.944991789819376,0.9928277543174778,0.9331929655100928
OPENJPA,13,NaiveBayes,0.8047337278106509,0.5836909871244635,0.9485308247954873,0.6628239234325384
OPENJPA,13,RandomForest,0.9147286821705426,0.759656652360515,0.9695006726026519,0.8221606151600322
OPENJPA,13,IBk,0.9422442244224423,0.8168812589413448,0.9725771546207362,0.869184778446484
OPENJPA,14,NaiveBayes,1.0,0.1111111111111111,0.6906649131537167,0.1987790919496365
OPENJPA,14,RandomForest,1.0,0.25,0.696138717092012,0.3981658387466634
OPENJPA,14,IBk,1.0,0.2962962962962963,0.6972827131531901,0.45524548085850497
OPENJPA,15,NaiveBayes,1.0,0.2360248447204969,0.9875094000226556,0.37373737373737487
OPENJPA,15,RandomForest,1.0,0.6118012422360248,0.9907320212198261,0.75273855691673
OPENJPA,15,IBk,1.0,0.7370600414078675,0.9917774159555708,0.844109102579599
OPENJPA,16,NaiveBayes,0.9629629629629629,0.7647058823529411,0.9995316905488394,0.8485845362778505
OPENJPA,16,RandomForest,0.9836065573770492,0.8823529411764706,0.9997984338187015,0.928271728948612
OPENJPA,16,IBk,0.9868766404199475,0.9215686274509803,0.9998403206033271,0.9517584734079274
OPENJPA,17,NaiveBayes,0.9402985074626866,0.7875,0.9996295695435864,0.8548928111239582
OPENJPA,17,RandomForest,0.9727891156462585,0.89375,0.9998046452520009,0.9304633313642684
OPENJPA,17,IBk,0.9823788546255506,0.9291666666666667,0.9998651068329848,0.9542759866869185
